ot_id,clinic_id,ot_name,status,is_emergency_reserved,total_surgeries_today
OT103,C34,Operation Theatre 3,Available,FALSE,1
OT104,C35,Operation Theatre 1,Available,FALSE,0
OT105,C35,Operation Theatre 2,Available,FALSE,1
OT106,C35,Operation Theatre 3,In Use,TRUE,2
OT107,C36,Operation Theatre 1,In Use,FALSE,1
OT108,C36,Operation Theatre 2,Cleaning,FALSE,0
OT109,C36,Operation Theatre 3,Available,TRUE,0
OT110,C37,Operation Theatre 1,Available,FALSE,0
OT111,C37,Operation Theatre 2,In Use,FALSE,2
OT112,C37,Operation Theatre 3,Available,FALSE,1
OT113,C38,Operation Theatre 1,Cleaning,FALSE,0
OT114,C38,Operation Theatre 2,Available,TRUE,0
OT115,C38,Operation Theatre 3,In Use,FALSE,2
OT116,C39,Operation Theatre 1,Available,FALSE,1
OT117,C39,Operation Theatre 2,Available,FALSE,0
OT118,C39,Operation Theatre 3,In Use,TRUE,2
OT119,C40,Operation Theatre 1,In Use,FALSE,1
OT120,C40,Operation Theatre 2,Under Maintenance,FALSE,0
OT121,C40,Operation Theatre 3,Available,TRUE,0
OT122,C41,Operation Theatre 1,Available,FALSE,0
OT123,C41,Operation Theatre 2,In Use,FALSE,2
OT124,C41,Operation Theatre 3,Cleaning,FALSE,1
OT125,C42,Operation Theatre 1,Available,FALSE,0
OT126,C42,Operation Theatre 2,Available,TRUE,1
OT127,C42,Operation Theatre 3,In Use,FALSE,2
OT128,C43,Operation Theatre 1,In Use,FALSE,1
OT129,C43,Operation Theatre 2,Cleaning,FALSE,0
OT130,C43,Operation Theatre 3,Available,TRUE,0
OT131,C44,Operation Theatre 1,Available,FALSE,0
OT132,C44,Operation Theatre 2,In Use,FALSE,2
OT133,C44,Operation Theatre 3,Available,FALSE,1
OT134,C45,Operation Theatre 1,Available,FALSE,0
OT135,C45,Operation Theatre 2,Available,FALSE,1
OT136,C45,Operation Theatre 3,In Use,TRUE,2
OT137,C46,Operation Theatre 1,In Use,FALSE,1
OT138,C46,Operation Theatre 2,Cleaning,FALSE,0
OT139,C46,Operation Theatre 3,Available,TRUE,0
OT140,C47,Operation Theatre 1,Available,FALSE,0
OT141,C47,Operation Theatre 2,In Use,FALSE,2
OT142,C47,Operation Theatre 3,Available,FALSE,1
OT143,C48,Operation Theatre 1,Cleaning,FALSE,0
OT144,C48,Operation Theatre 2,Available,TRUE,0
OT145,C48,Operation Theatre 3,In Use,FALSE,2
OT146,C49,Operation Theatre 1,Available,FALSE,1
OT147,C49,Operation Theatre 2,Available,FALSE,0
OT148,C49,Operation Theatre 3,In Use,TRUE,2
OT149,C50,Operation Theatre 1,In Use,FALSE,1
OT150,C50,Operation Theatre 2,Under Maintenance,FALSE,0
OT151,C50,Operation Theatre 3,Available,TRUE,0
