doctor_id,total_appointments,completed_appointments,pending_appointments,cancelled_appointments,avg_consultation_minutes,avg_waiting_time_minutes,weekly_appointments,hours_per_week,workload_score,burnout_risk_score,burnout_risk_level
D124,227,86,74,67,28.233480176211454,28.52863436123348,1.7,32,5.3,92.2,High
D125,180,57,53,70,28.033333333333335,25.322222222222223,1.1,32,3.4,93.1,High
D126,188,59,64,65,26.340425531914892,25.95744680851064,1.1,45,2.4,123.2,High
D127,212,67,71,74,26.806603773584907,26.660377358490567,1.3,40,3.2,112.9,High
D128,205,64,70,71,26.98048780487805,28.60487804878049,1.2,40,3.0,113.8,High
D129,185,67,67,51,26.52972972972973,29.481081081081083,1.3,40,3.2,111.2,High
D13,208,68,68,72,26.52403846153846,25.802884615384617,1.3,40,3.2,111.2,High
D130,208,73,62,73,26.70673076923077,26.423076923076923,1.4,45,3.1,116.7,High
D131,176,41,58,77,26.710227272727273,24.0625,0.8,45,1.8,132.3,High
D132,190,67,62,61,27.278947368421054,26.96315789473684,1.3,36,3.6,101.2,High
D133,200,70,65,65,26.795,26.785,1.3,32,4.1,93.5,High
D134,210,69,79,62,27.10952380952381,30.82857142857143,1.3,36,3.6,107.7,High
D135,176,62,54,60,26.568181818181817,25.15909090909091,1.2,36,3.3,99.4,High
D136,186,55,74,57,26.63978494623656,29.63978494623656,1.1,32,3.4,105.3,High
D137,205,58,75,72,27.09268292682927,27.458536585365852,1.1,40,2.8,119.5,High
D138,179,61,63,55,27.59776536312849,27.067039106145252,1.2,32,3.8,96.4,High
D139,187,65,56,66,26.711229946524064,27.272727272727273,1.2,36,3.3,99.1,High
D14,207,83,54,70,25.753623188405797,25.59903381642512,1.6,36,4.4,93.5,High
D140,212,64,70,78,27.316037735849058,28.014150943396228,1.2,36,3.3,106.0,High
D141,150,60,47,43,26.66,28.373333333333335,1.2,40,3.0,104.6,High
D142,202,72,67,63,27.56930693069307,28.46039603960396,1.4,40,3.5,109.3,High
D143,203,72,72,59,28.413793103448278,30.221674876847292,1.4,45,3.1,121.1,High
D144,209,65,84,60,28.45933014354067,30.14354066985646,1.2,45,2.7,129.5,High
D145,206,72,68,66,25.9126213592233,27.276699029126213,1.4,45,3.1,119.5,High
D146,197,64,59,74,26.619289340101524,25.873096446700508,1.2,32,3.8,93.1,High
D147,208,69,75,64,26.778846153846153,28.47596153846154,1.3,36,3.6,105.9,High
D148,208,67,67,74,26.64423076923077,24.6875,1.3,40,3.2,111.2,High
D149,177,66,53,58,26.954802259887007,26.740112994350284,1.3,36,3.6,97.5,High
D15,206,68,78,60,28.019417475728154,27.859223300970875,1.3,45,2.9,125.4,High
D150,193,58,74,61,27.33160621761658,28.020725388601036,1.1,45,2.4,128.8,High
D151,195,69,57,69,28.456410256410255,25.133333333333333,1.3,40,3.2,106.0,High
D152,192,55,66,71,26.770833333333332,24.125,1.1,36,3.1,108.9,High
D153,205,65,78,62,26.765853658536585,27.975609756097562,1.2,32,3.8,101.4,High
D154,187,66,66,55,27.834224598930483,26.272727272727273,1.3,32,4.1,95.6,High
D155,203,73,68,62,27.832512315270936,27.275862068965516,1.4,32,4.4,93.8,High
D156,200,79,74,47,26.46,29.96,1.5,50,3.0,129.2,High
D157,180,59,65,56,25.844444444444445,27.977777777777778,1.1,36,3.1,106.0,High
D158,200,72,67,61,27.235,26.935,1.4,40,3.5,109.3,High
D159,191,65,74,52,26.837696335078533,29.900523560209425,1.2,40,3.0,115.1,High
D16,185,57,65,63,25.90810810810811,27.994594594594595,1.1,40,2.8,115.0,High
D160,217,73,73,71,28.046082949308754,27.018433179723502,1.4,45,3.1,121.1,High
D161,210,75,66,69,26.60952380952381,27.042857142857144,1.4,40,3.5,107.8,High
D162,195,60,71,64,26.29230769230769,28.753846153846155,1.2,32,3.8,100.8,High
D163,174,54,69,51,27.32183908045977,31.586206896551722,1.0,40,2.5,118.9,High
D164,188,56,69,63,26.70744680851064,26.930851063829788,1.1,40,2.8,117.7,High
D165,210,71,66,73,27.21904761904762,25.547619047619047,1.4,50,2.8,128.9,High
D166,207,68,74,65,26.753623188405797,25.681159420289855,1.3,40,3.2,113.8,High
D167,230,86,82,62,26.452173913043477,29.56086956521739,1.7,40,4.2,110.4,High
D168,209,79,65,65,26.435406698564595,27.83732057416268,1.5,40,3.8,106.3,High
D169,195,68,66,61,26.056410256410256,29.466666666666665,1.3,32,4.1,94.7,High
D17,188,64,63,61,28.21276595744681,29.0,1.2,45,2.7,120.4,High
D170,183,70,64,49,27.453551912568305,29.21311475409836,1.3,40,3.2,108.6,High
D171,163,53,56,54,28.742331288343557,26.30674846625767,1.0,45,2.2,122.2,High
D172,178,49,67,62,27.320224719101123,27.348314606741575,0.9,40,2.2,121.3,High
D173,208,65,76,67,28.216346153846153,27.408653846153847,1.2,32,3.8,100.4,High
D174,192,64,69,59,28.119791666666668,29.005208333333332,1.2,40,3.0,113.3,High
D175,188,67,57,64,28.25,25.069148936170212,1.3,50,2.6,126.4,High
D176,200,72,55,73,26.3,25.095,1.4,45,3.1,114.2,High
D177,191,59,60,72,28.884816753926703,24.078534031413614,1.1,36,3.1,103.6,High
D178,175,65,50,60,26.205714285714286,27.36,1.2,32,3.8,88.6,High
D179,199,64,76,59,27.4321608040201,30.14070351758794,1.2,40,3.0,116.6,High
D18,193,64,72,57,27.196891191709845,28.4559585492228,1.2,50,2.4,134.4,High
D180,213,74,70,69,28.169014084507044,28.004694835680752,1.4,36,3.9,102.0,High
D181,219,72,78,69,27.105022831050228,28.561643835616437,1.4,40,3.5,113.8,High
D182,188,55,63,70,26.50531914893617,25.824468085106382,1.1,40,2.8,115.2,High
D183,199,73,57,69,27.603015075376884,25.045226130653266,1.4,40,3.5,104.9,High
D184,186,58,56,72,28.317204301075268,24.655913978494624,1.1,36,3.1,102.0,High
D185,179,66,57,56,28.446927374301676,27.324022346368714,1.3,32,4.1,91.6,High
D186,216,73,65,78,26.61111111111111,27.72222222222222,1.4,36,3.9,100.3,High
D187,204,55,67,82,27.416666666666668,23.691176470588236,1.1,45,2.4,127.1,High
D188,198,64,60,74,26.141414141414142,26.085858585858585,1.2,36,3.3,101.3,High
D189,209,66,76,67,27.119617224880383,29.650717703349283,1.3,36,3.6,107.8,High
D19,191,64,74,53,28.26178010471204,31.18324607329843,1.2,45,2.7,125.5,High
D190,199,65,74,60,28.08542713567839,29.43718592964824,1.2,45,2.7,125.0,High
D191,186,66,61,59,27.392473118279568,27.919354838709676,1.3,40,3.2,108.9,High
D192,200,65,61,74,27.63,23.515,1.2,32,3.8,93.6,High
D193,204,65,75,64,28.362745098039216,28.28921568627451,1.2,40,3.0,115.6,High
D194,203,86,57,60,26.19704433497537,27.201970443349754,1.7,36,4.7,94.0,High
D195,238,79,80,79,26.810924369747898,26.235294117647058,1.5,32,4.7,96.4,High
D196,220,88,68,64,26.118181818181817,27.527272727272727,1.7,45,3.8,114.8,High
D197,202,78,65,59,27.301980198019802,28.871287128712872,1.5,40,3.8,106.6,High
D198,219,79,59,81,26.931506849315067,25.986301369863014,1.5,50,3.0,123.6,High
D199,189,65,69,55,27.317460317460316,29.021164021164022,1.2,32,3.8,97.3,High
D2,211,76,53,82,25.360189573459717,24.099526066350712,1.5,40,3.8,102.5,High
D20,181,68,58,55,27.76795580110497,28.723756906077348,1.3,40,3.2,106.8,High
D200,188,77,72,39,25.99468085106383,33.03191489361702,1.5,32,4.7,94.0,High
D201,216,71,67,78,27.162037037037038,25.833333333333332,1.4,32,4.4,94.1,High
D202,214,72,75,67,26.630841121495326,29.205607476635514,1.4,40,3.5,112.6,High
D203,214,68,79,67,27.60747663551402,27.827102803738317,1.3,32,4.1,100.4,High
D204,176,55,75,46,28.255681818181817,32.47159090909091,1.1,36,3.1,113.7,High
D205,205,63,74,68,25.658536585365855,25.502439024390245,1.2,40,3.0,116.2,High
D206,208,64,81,63,26.5,29.120192307692307,1.2,32,3.8,103.3,High
D207,182,55,60,67,28.939560439560438,23.807692307692307,1.1,50,2.2,133.2,High
D208,197,61,62,74,27.578680203045685,24.3502538071066,1.2,40,3.0,111.5,High
D209,194,61,69,64,28.49484536082474,27.855670103092784,1.2,50,2.4,134.6,High
D21,195,62,62,71,27.82051282051282,26.3025641025641,1.2,50,2.4,130.7,High
D210,190,68,68,54,26.473684210526315,29.873684210526317,1.3,36,3.6,103.4,High
D211,197,72,59,66,27.03553299492386,26.715736040609137,1.4,32,4.4,90.4,High
D212,188,63,61,64,27.930851063829788,27.50531914893617,1.2,40,3.0,110.1,High
D213,207,67,65,75,27.570048309178745,25.956521739130434,1.3,40,3.2,110.3,High
D214,177,69,46,62,28.689265536723163,26.310734463276837,1.3,36,3.6,93.5,High
D215,209,58,77,74,27.832535885167463,28.22488038277512,1.1,32,3.4,104.9,High
D216,217,59,82,76,27.400921658986174,27.880184331797235,1.1,32,3.4,106.7,High
D217,194,61,70,63,26.917525773195877,28.463917525773194,1.2,50,2.4,135.1,High
D218,200,54,78,68,25.955,26.09,1.0,32,3.1,108.1,High
D219,209,71,56,82,27.74641148325359,22.72248803827751,1.4,50,2.8,124.7,High
D22,204,61,76,67,26.965686274509803,26.70098039215686,1.2,36,3.3,110.4,High
D220,195,69,59,67,26.553846153846155,29.846153846153847,1.3,32,4.1,91.3,High
D221,214,78,77,59,26.135514018691588,32.02803738317757,1.5,40,3.8,111.1,High
D222,215,80,71,64,26.590697674418603,27.190697674418605,1.5,32,4.7,92.6,High
D223,232,84,81,67,27.275862068965516,27.857758620689655,1.6,45,3.6,120.4,High
D224,213,69,65,79,28.699530516431924,26.5962441314554,1.3,40,3.2,109.5,High
D225,193,76,57,60,27.23316062176166,27.808290155440414,1.5,40,3.8,104.1,High
D226,197,68,54,75,26.79695431472081,24.497461928934012,1.3,45,2.9,114.9,High
D227,220,78,64,78,26.054545454545455,27.577272727272728,1.5,32,4.7,90.7,High
D228,216,68,61,87,27.10185185185185,23.73148148148148,1.3,45,2.9,118.0,High
D229,187,66,66,55,26.97326203208556,29.898395721925134,1.3,32,4.1,95.6,High
D23,204,62,69,73,26.220588235294116,25.627450980392158,1.2,45,2.7,124.2,High
D230,205,80,61,64,28.2390243902439,27.307317073170733,1.5,40,3.8,104.5,High
D231,209,71,66,72,29.0,22.985645933014354,1.4,50,2.8,128.9,High
D232,201,63,65,73,27.074626865671643,25.507462686567163,1.2,40,3.0,112.0,High
D233,193,68,63,62,27.59585492227979,27.17098445595855,1.3,40,3.2,109.0,High
D234,210,71,77,62,28.866666666666667,29.557142857142857,1.4,40,3.5,113.8,High
D235,174,57,59,58,26.166666666666668,27.362068965517242,1.1,50,2.2,131.6,High
D236,208,67,59,82,27.51923076923077,24.245192307692307,1.3,40,3.2,107.6,High
D237,174,47,63,64,27.64367816091954,25.82183908045977,0.9,50,1.8,140.3,High
D238,185,68,60,57,25.756756756756758,25.0,1.3,45,2.9,117.5,High
D239,213,76,65,72,26.68075117370892,27.061032863849764,1.5,40,3.8,107.2,High
D24,190,52,71,67,25.94736842105263,26.86315789473684,1.0,45,2.2,131.3,High
D240,216,72,67,77,27.01851851851852,24.074074074074073,1.4,50,2.8,128.9,High
D241,210,61,80,69,27.70952380952381,27.033333333333335,1.2,45,2.7,130.1,High
D242,189,47,76,66,27.24867724867725,27.095238095238095,0.9,40,2.2,128.6,High
D243,194,73,49,72,26.396907216494846,23.685567010309278,1.4,40,3.5,101.6,High
D244,211,68,73,70,26.213270142180093,26.919431279620852,1.3,32,4.1,97.8,High
D245,204,57,73,74,27.86764705882353,27.205882352941178,1.1,40,2.8,119.2,High
D246,209,65,68,76,27.320574162679424,27.258373205741627,1.2,40,3.0,112.4,High
D247,205,68,63,74,26.458536585365852,24.995121951219513,1.3,40,3.2,109.0,High
D248,197,54,76,67,27.64467005076142,27.98984771573604,1.0,32,3.1,107.0,High
D249,204,64,65,75,25.872549019607842,25.191176470588236,1.2,32,3.8,95.9,High
D25,183,50,60,73,26.51366120218579,25.005464480874316,1.0,40,2.5,116.5,High
D250,203,60,83,60,26.334975369458128,29.41871921182266,1.2,40,3.0,122.3,High
D251,176,72,49,55,27.926136363636363,29.022727272727273,1.4,40,3.5,101.9,High
D252,194,62,69,63,27.1340206185567,28.9020618556701,1.2,40,3.0,114.4,High
D253,193,61,65,67,27.575129533678755,27.71502590673575,1.2,40,3.0,113.0,High
D254,203,83,67,53,27.74384236453202,30.610837438423644,1.6,32,5.0,90.4,High
D255,203,66,75,62,27.12807881773399,31.261083743842363,1.3,36,3.6,107.4,High
D256,218,82,68,68,26.01834862385321,25.211009174311926,1.6,36,4.4,98.8,High
D257,188,67,64,57,25.819148936170212,29.73936170212766,1.3,40,3.2,109.8,High
D258,182,58,58,66,27.313186813186814,26.39010989010989,1.1,45,2.4,120.7,High
D259,200,72,56,72,26.175,25.21,1.4,50,2.8,124.4,High
D26,200,75,59,66,26.29,26.63,1.4,40,3.5,105.0,High
D260,210,77,61,72,26.7,24.304761904761904,1.5,36,4.2,97.6,High
D261,208,72,64,72,26.47596153846154,25.778846153846153,1.4,32,4.4,92.5,High
D262,203,53,79,71,27.31527093596059,26.40394088669951,1.0,50,2.0,144.9,High
D263,203,72,67,64,25.822660098522167,29.330049261083744,1.4,40,3.5,109.3,High
D264,203,64,64,75,26.458128078817733,23.507389162561577,1.2,32,3.8,95.4,High
D265,189,63,60,66,27.227513227513228,27.306878306878307,1.2,40,3.0,109.6,High
D266,207,69,68,70,27.130434782608695,27.76328502415459,1.3,50,2.6,130.4,High
D267,189,56,57,76,25.687830687830687,24.571428571428573,1.1,45,2.4,121.2,High
D268,195,66,70,59,26.543589743589745,28.805128205128206,1.3,50,2.6,132.6,High
D269,215,75,76,64,26.38139534883721,28.511627906976745,1.4,32,4.4,96.2,High
D27,213,58,73,82,27.31924882629108,25.985915492957748,1.1,40,2.8,118.5,High
D270,179,60,49,70,27.335195530726256,24.77094972067039,1.2,36,3.3,97.7,High
D271,197,57,63,77,26.385786802030456,24.97969543147208,1.1,45,2.4,123.8,High
D272,214,83,71,60,27.070093457943926,29.023364485981308,1.6,40,4.0,107.4,High
D273,188,61,63,64,27.085106382978722,25.409574468085108,1.2,40,3.0,112.0,High
D274,180,51,71,58,27.272222222222222,27.505555555555556,1.0,45,2.2,132.1,High
D275,243,92,69,82,26.395061728395063,26.094650205761315,1.8,40,4.5,104.5,High
D276,213,71,77,65,26.868544600938968,29.2018779342723,1.4,45,3.1,123.6,High
D277,179,50,70,59,26.43016759776536,27.094972067039105,1.0,32,3.1,106.7,High
D278,212,61,83,68,25.660377358490567,26.985849056603772,1.2,45,2.7,131.5,High
D279,195,73,64,58,26.897435897435898,29.83076923076923,1.4,32,4.4,92.1,High
D28,200,73,63,64,26.905,29.285,1.4,50,2.8,126.9,High
D280,212,78,59,75,27.245283018867923,25.75,1.5,45,3.3,114.1,High
D281,191,74,55,62,27.167539267015705,27.75392670157068,1.4,50,2.8,123.4,High
D282,198,64,71,63,26.116161616161616,25.92929292929293,1.2,45,2.7,124.1,High
D283,215,75,65,75,27.167441860465118,24.167441860465118,1.4,45,3.1,117.2,High
D284,201,57,72,72,28.930348258706466,27.800995024875622,1.1,32,3.4,102.9,High
D285,201,64,81,56,27.507462686567163,28.850746268656717,1.2,40,3.0,118.9,High
D286,193,51,76,66,26.844559585492227,27.60621761658031,1.0,32,3.1,109.4,High
D287,210,71,77,62,26.31904761904762,26.695238095238096,1.4,36,3.9,106.0,High
D288,189,72,62,55,26.433862433862434,29.35978835978836,1.4,40,3.5,107.2,High
D289,217,68,75,74,26.447004608294932,25.52073732718894,1.3,32,4.1,98.7,High
D29,190,66,59,65,28.242105263157896,27.3,1.3,45,2.9,117.9,High
D290,192,58,63,71,28.088541666666668,25.333333333333332,1.1,40,2.8,113.4,High
D291,209,67,74,68,27.545454545454547,27.440191387559807,1.3,36,3.6,106.4,High
D292,221,89,65,67,28.15837104072398,28.09049773755656,1.7,32,5.3,88.3,High
D293,203,72,61,70,26.699507389162562,27.60591133004926,1.4,40,3.5,106.8,High
D294,196,65,79,52,27.724489795918366,29.520408163265305,1.2,50,2.4,137.1,High
D295,189,61,71,57,26.365079365079364,27.264550264550266,1.2,40,3.0,115.9,High
D296,188,70,66,52,26.877659574468087,30.101063829787233,1.3,40,3.2,109.5,High
D297,195,71,62,62,28.22051282051282,26.543589743589745,1.4,45,3.1,117.4,High
D298,217,71,69,77,27.81566820276498,27.258064516129032,1.4,40,3.5,110.5,High
D299,201,79,67,55,26.850746268656717,29.746268656716417,1.5,40,3.8,107.0,High
D3,189,49,71,69,27.227513227513228,27.026455026455025,0.9,32,2.8,108.0,High
D30,195,68,66,61,27.01025641025641,27.866666666666667,1.3,50,2.6,130.0,High
D300,190,62,68,60,27.068421052631578,28.726315789473684,1.2,40,3.0,113.9,High
D301,206,78,66,62,26.75242718446602,25.95631067961165,1.5,36,4.2,99.2,High
D302,196,62,77,57,27.107142857142858,28.255102040816325,1.2,40,3.0,118.2,High
D303,224,74,73,77,27.138392857142858,26.1875,1.4,40,3.5,111.0,High
D304,190,65,65,60,26.83157894736842,27.557894736842105,1.2,45,2.7,120.9,High
D305,215,79,70,66,26.46046511627907,27.167441860465118,1.5,45,3.3,117.9,High
D306,179,48,64,67,26.949720670391063,25.955307262569832,0.9,40,2.2,120.3,High
D307,181,53,59,69,27.34806629834254,25.486187845303867,1.0,50,2.0,133.8,High
D308,199,70,68,61,27.63819095477387,28.160804020100503,1.3,45,2.9,120.2,High
D309,207,64,71,72,27.497584541062803,27.66183574879227,1.2,50,2.4,134.0,High
D31,213,69,79,65,27.413145539906104,28.699530516431924,1.3,32,4.1,99.9,High
D310,211,80,72,59,27.151658767772513,30.33175355450237,1.5,40,3.8,108.6,High
D311,188,54,74,60,26.21808510638298,29.77659574468085,1.0,40,2.5,121.6,High
D312,207,69,73,65,27.193236714975846,27.265700483091788,1.3,36,3.6,105.1,High
D313,233,70,81,82,28.012875536480685,25.991416309012877,1.3,45,2.9,125.7,High
D314,207,69,74,64,26.782608695652176,28.55072463768116,1.3,36,3.6,105.5,High
D315,199,69,63,67,26.733668341708544,28.532663316582916,1.3,32,4.1,93.0,High
D316,188,68,64,56,27.175531914893618,26.94148936170213,1.3,50,2.6,129.1,High
D317,223,83,69,71,26.47982062780269,27.32286995515695,1.6,32,5.0,91.1,High
D318,222,75,80,67,26.26126126126126,28.67117117117117,1.4,40,3.5,113.3,High
D319,228,80,76,72,27.894736842105264,28.12280701754386,1.5,32,4.7,94.5,High
D32,224,67,99,58,27.022321428571427,32.191964285714285,1.3,36,3.6,117.5,High
D320,198,61,66,71,26.434343434343436,26.30808080808081,1.2,50,2.4,133.1,High
D321,202,62,69,71,26.321782178217823,26.178217821782177,1.2,40,3.0,114.4,High
D322,183,62,57,64,27.005464480874316,25.349726775956285,1.2,36,3.3,100.8,High
D323,183,68,50,65,26.48633879781421,26.371584699453553,1.3,40,3.2,103.3,High
D324,220,66,74,80,27.063636363636363,25.740909090909092,1.3,50,2.6,134.4,High
D325,191,69,67,55,27.073298429319372,26.607329842931936,1.3,40,3.2,110.3,High
D326,210,73,59,78,27.84285714285714,24.704761904761906,1.4,40,3.5,105.7,High
D327,205,85,52,68,27.048780487804876,25.829268292682926,1.6,32,5.0,84.6,High
D328,205,57,74,74,27.11219512195122,25.7609756097561,1.1,36,3.1,111.8,High
D329,196,69,62,65,25.525510204081634,28.755102040816325,1.3,40,3.2,108.2,High
D33,228,70,84,74,27.526315789473685,25.69298245614035,1.3,50,2.6,136.8,High
D330,195,66,65,64,27.02051282051282,27.328205128205127,1.3,45,2.9,120.6,High
D331,181,61,50,70,27.76795580110497,24.132596685082873,1.2,36,3.3,97.8,High
D332,200,82,65,53,25.445,29.875,1.6,32,5.0,90.0,High
D333,212,68,67,77,27.05188679245283,25.04245283018868,1.3,40,3.2,110.7,High
D334,203,72,61,70,27.07881773399015,26.857142857142858,1.4,32,4.4,91.3,High
D335,218,59,81,78,25.44495412844037,26.74770642201835,1.1,50,2.2,141.6,High
D336,211,67,72,72,27.379146919431278,27.24170616113744,1.3,40,3.2,113.4,High
D337,200,62,74,64,27.44,28.57,1.2,36,3.3,108.9,High
D338,193,70,63,60,27.186528497409327,26.870466321243523,1.3,32,4.1,92.7,High
D339,200,67,61,72,27.375,24.44,1.3,50,2.6,128.2,High
D34,198,60,57,81,26.560606060606062,22.333333333333332,1.2,45,2.7,119.4,High
D340,215,77,76,62,26.065116279069766,27.632558139534883,1.5,40,3.8,111.1,High
D341,206,62,85,59,27.199029126213592,31.300970873786408,1.2,40,3.0,122.0,High
D342,204,60,82,62,27.524509803921568,28.534313725490197,1.2,50,2.4,141.5,High
D343,190,74,56,60,28.294736842105262,26.71578947368421,1.4,32,4.4,88.6,High
D344,182,65,64,53,28.36263736263736,31.626373626373628,1.2,45,2.7,120.4,High
D345,229,83,77,69,27.16157205240175,29.663755458515283,1.6,40,4.0,109.5,High
D346,181,57,68,56,28.011049723756905,29.92817679558011,1.1,32,3.4,100.9,High
D347,201,84,65,52,25.64676616915423,30.18407960199005,1.6,32,5.0,89.4,High
D348,191,60,61,70,26.596858638743456,25.994764397905758,1.2,45,2.7,121.4,High
D349,187,52,69,66,26.058823529411764,27.13903743315508,1.0,50,2.0,140.1,High
D35,213,69,80,64,27.417840375586856,29.408450704225352,1.3,50,2.6,135.6,High
D350,211,67,65,79,28.824644549763033,25.080568720379148,1.3,40,3.2,110.3,High
D351,185,48,78,59,27.313513513513513,27.756756756756758,0.9,40,2.2,128.9,High
D352,171,65,59,47,29.198830409356724,28.672514619883042,1.2,32,3.8,92.7,High
D353,203,71,61,71,26.76847290640394,25.428571428571427,1.4,36,3.9,99.4,High
D354,203,63,77,63,27.04433497536946,29.576354679802957,1.2,45,2.7,127.4,High
D355,210,71,68,71,26.79047619047619,26.409523809523808,1.4,50,2.8,129.7,High
D356,219,74,79,66,25.666666666666668,26.32420091324201,1.4,40,3.5,113.4,High
D357,206,78,80,48,26.699029126213592,33.24271844660194,1.5,40,3.8,112.3,High
D358,200,75,71,54,26.655,29.99,1.4,50,2.8,129.4,High
D359,190,68,62,60,27.942105263157895,25.74736842105263,1.3,36,3.6,100.8,High
D36,195,66,72,57,28.51794871794872,28.805128205128206,1.3,36,3.6,106.0,High
D360,210,63,62,85,26.761904761904763,24.004761904761907,1.2,36,3.3,102.7,High
D361,212,73,66,73,26.382075471698112,25.089622641509433,1.4,40,3.5,108.5,High
D362,211,72,81,58,27.355450236966824,27.701421800947866,1.4,36,3.9,107.2,High
D363,202,70,66,66,27.212871287128714,26.846534653465348,1.3,36,3.6,101.7,High
D364,193,61,69,63,26.16580310880829,27.70984455958549,1.2,45,2.7,124.7,High
D365,197,74,55,68,27.517766497461928,24.35532994923858,1.4,36,3.9,96.0,High
D366,214,80,65,69,26.485981308411215,29.52803738317757,1.5,32,4.7,90.4,High
D367,198,55,75,68,27.98989898989899,27.12121212121212,1.1,40,2.8,121.6,High
D368,212,78,62,72,27.047169811320753,26.42924528301887,1.5,50,3.0,125.0,High
D369,198,69,69,60,26.8989898989899,26.681818181818183,1.3,36,3.6,103.4,High
D37,228,82,80,66,26.416666666666668,27.67543859649123,1.6,40,4.0,110.9,High
D370,196,62,65,69,26.53061224489796,27.647959183673468,1.2,40,3.0,112.5,High
D371,216,66,65,85,27.15740740740741,23.166666666666668,1.3,40,3.2,110.7,High
D372,197,59,72,66,27.685279187817258,27.85786802030457,1.1,40,2.8,117.4,High
D373,211,66,75,70,26.33175355450237,27.364928909952607,1.3,40,3.2,115.2,High
D374,204,70,65,69,27.392156862745097,28.03921568627451,1.3,40,3.2,109.1,High
D375,166,52,58,56,26.650602409638555,24.632530120481928,1.0,32,3.1,98.4,High
D376,209,73,68,68,25.483253588516746,28.30622009569378,1.4,40,3.5,109.3,High
D377,198,63,69,66,26.96969696969697,27.136363636363637,1.2,40,3.0,113.8,High
D378,195,67,59,69,28.153846153846153,24.794871794871796,1.3,36,3.6,99.8,High
D379,191,64,71,56,26.905759162303664,28.361256544502616,1.2,50,2.4,134.0,High
D38,227,75,88,64,26.92511013215859,29.47136563876652,1.4,32,4.4,100.9,High
D380,197,61,77,59,27.304568527918782,27.14213197969543,1.2,32,3.8,103.2,High
D381,185,66,62,57,25.17297297297297,26.394594594594594,1.3,45,2.9,119.2,High
D382,174,56,48,70,27.597701149425287,23.229885057471265,1.1,45,2.4,116.5,High
D383,197,62,63,72,27.411167512690355,27.116751269035532,1.2,50,2.4,131.2,High
D384,215,79,52,84,26.809302325581395,22.204651162790697,1.5,32,4.7,85.8,High
D385,193,70,70,53,25.911917098445596,30.010362694300518,1.3,40,3.2,111.2,High
D386,172,62,54,56,26.982558139534884,25.1453488372093,1.2,40,3.0,107.2,High
D387,196,64,79,53,26.668367346938776,28.357142857142858,1.2,36,3.3,110.1,High
D388,190,59,70,61,26.763157894736842,29.489473684210527,1.1,36,3.1,108.6,High
D389,213,53,81,79,27.685446009389672,27.206572769953052,1.0,36,2.8,118.4,High
D39,194,65,65,64,27.469072164948454,28.3659793814433,1.2,36,3.3,103.2,High
D390,196,71,51,74,27.29591836734694,24.785714285714285,1.4,36,3.9,95.2,High
D391,201,74,62,65,25.432835820895523,28.029850746268657,1.4,40,3.5,106.6,High
