doctor_id,days_per_week,shift_duration_hours,shift_start_time,shift_end_time
D216,4,8,08:00,16:00
D217,5,10,09:00,19:00
D218,4,8,09:00,17:00
D219,5,10,09:00,19:00
D220,4,8,08:00,16:00
D221,4,10,09:30,19:30
D222,4,8,08:00,16:00
D223,5,9,09:00,18:00
D224,5,8,09:30,17:30
D225,5,8,09:30,17:30
D226,5,9,08:00,17:00
D227,4,8,09:00,17:00
D228,5,9,08:00,17:00
D229,4,8,09:30,17:30
D230,4,10,08:00,18:00
D231,5,10,08:00,18:00
D232,5,8,09:00,17:00
D233,5,8,09:00,17:00
D234,5,8,09:30,17:30
D235,5,10,08:00,18:00
D236,5,8,08:00,16:00
D237,5,10,08:00,18:00
D238,5,9,09:30,18:30
D239,4,10,09:30,19:30
D240,5,10,09:00,19:00
D241,5,9,09:00,18:00
D242,4,10,09:00,19:00
D243,5,8,08:00,16:00
D244,4,8,08:00,16:00
D245,4,10,09:00,19:00
D246,5,8,08:00,16:00
D247,4,10,09:00,19:00
D248,4,8,09:30,17:30
D249,4,8,09:00,17:00
D250,4,10,09:30,19:30
D251,5,8,08:00,16:00
D252,4,10,09:00,19:00
D253,5,8,08:00,16:00
D254,4,8,09:30,17:30
D255,4,9,09:30,18:30
D256,4,9,09:30,18:30
D257,4,10,08:00,18:00
D258,5,9,08:00,17:00
D259,5,10,08:00,18:00
D260,4,9,08:00,17:00
D261,4,8,09:30,17:30
D262,5,10,09:30,19:30
D263,4,10,09:00,19:00
D264,4,8,09:00,17:00
D265,4,10,08:00,18:00
D266,5,10,09:30,19:30
D267,5,9,09:30,18:30
D268,5,10,09:30,19:30
D269,4,8,09:00,17:00
D270,4,9,09:00,18:00
D271,5,9,09:30,18:30
D272,5,8,09:30,17:30
D273,5,8,09:30,17:30
D274,5,9,09:00,18:00
D275,4,10,09:30,19:30
D276,5,9,09:30,18:30
D277,4,8,08:00,16:00
D278,5,9,08:00,17:00
D279,4,8,09:00,17:00
D280,5,9,09:30,18:30
D281,5,10,09:30,19:30
D282,5,9,08:00,17:00
D283,5,9,09:00,18:00
D284,4,8,08:00,16:00
D285,5,8,08:00,16:00
D286,4,8,08:00,16:00
D287,4,9,08:00,17:00
D288,4,10,09:30,19:30
D289,4,8,09:30,17:30
D290,5,8,08:00,16:00
D291,4,9,09:00,18:00
D292,4,8,09:00,17:00
D293,4,10,09:00,19:00
D294,5,10,09:00,19:00
D295,5,8,08:00,16:00
D296,5,8,09:30,17:30
D297,5,9,09:00,18:00
D298,4,10,08:00,18:00
D299,4,10,09:00,19:00
D300,5,8,09:00,17:00
D301,4,9,08:00,17:00
D302,4,10,09:30,19:30
D303,4,10,09:30,19:30
D304,5,9,08:00,17:00
D305,5,9,09:30,18:30
D306,4,10,08:00,18:00
D307,5,10,08:00,18:00
D308,5,9,08:00,17:00
D309,5,10,09:30,19:30
D310,5,8,08:00,16:00
D311,5,8,09:00,17:00
D312,4,9,09:30,18:30
D313,5,9,09:30,18:30
D314,4,9,09:30,18:30
D315,4,8,09:30,17:30
D316,5,10,09:00,19:00
D317,4,8,09:30,17:30
D318,4,10,09:30,19:30
D319,4,8,08:00,16:00
D320,5,10,09:30,19:30
D321,5,8,09:00,17:00
D322,4,9,09:00,18:00
D323,5,8,09:00,17:00
D324,5,10,09:00,19:00
D325,5,8,09:30,17:30
D326,5,8,09:30,17:30
D327,4,8,09:00,17:00
D328,4,9,09:00,18:00
D329,5,8,09:30,17:30
D330,5,9,09:00,18:00
D331,4,9,08:00,17:00
D332,4,8,09:00,17:00
D333,5,8,09:00,17:00
D334,4,8,08:00,16:00
D335,5,10,08:00,18:00
D336,5,8,09:30,17:30
D337,4,9,09:30,18:30
D338,4,8,08:00,16:00
D339,5,10,08:00,18:00
D340,5,8,09:30,17:30
D341,4,10,09:00,19:00
D342,5,10,08:00,18:00
D343,4,8,09:30,17:30
D344,5,9,09:00,18:00
D345,4,10,08:00,18:00
D346,4,8,09:00,17:00
D347,4,8,09:30,17:30
D348,5,9,08:00,17:00
D349,5,10,09:00,19:00
D350,4,10,08:00,18:00
D351,5,8,09:00,17:00
D352,4,8,09:30,17:30
D353,4,9,09:30,18:30
D354,5,9,08:00,17:00
D355,5,10,09:00,19:00
D356,4,10,08:00,18:00
D357,5,8,08:00,16:00
D358,5,10,09:00,19:00
D359,4,9,09:00,18:00
D360,4,9,09:00,18:00
D361,5,8,09:30,17:30
D362,4,9,08:00,17:00
D363,4,9,08:00,17:00
D364,5,9,09:30,18:30
D365,4,9,09:00,18:00
D366,4,8,09:30,17:30
D367,5,8,09:30,17:30
D368,5,10,09:30,19:30
D369,4,9,08:00,17:00
D370,4,10,09:30,19:30
D371,5,8,08:00,16:00
D372,5,8,08:00,16:00
D373,5,8,08:00,16:00
D374,5,8,09:00,17:00
D375,4,8,08:00,16:00
D376,5,8,08:00,16:00
D377,5,8,09:00,17:00
D378,4,9,08:00,17:00
D379,5,10,09:30,19:30
D380,4,8,09:30,17:30
D381,5,9,08:00,17:00
D382,5,9,09:00,18:00
D383,5,10,09:30,19:30
D384,4,8,09:00,17:00
D385,4,10,09:00,19:00
D386,5,8,09:30,17:30
D387,4,9,09:00,18:00
D388,4,9,09:30,18:30
D389,4,9,09:00,18:00
D390,4,9,09:30,18:30
D391,4,10,08:00,18:00
D392,4,8,09:30,17:30
D393,5,8,09:30,17:30
D394,5,10,09:30,19:30
D395,4,8,09:30,17:30
D396,5,9,09:00,18:00
D397,5,8,08:00,16:00
D398,5,9,09:30,18:30
D399,5,10,09:00,19:00
D400,4,8,08:00,16:00
D401,5,10,08:00,18:00
D402,5,8,08:00,16:00
D403,4,9,08:00,17:00
D404,4,10,09:30,19:30
D405,5,8,09:30,17:30
D406,5,9,09:00,18:00
D407,5,10,09:00,19:00
D408,5,10,09:00,19:00
D409,5,8,08:00,16:00
D410,5,8,08:00,16:00
D411,4,8,09:30,17:30
D412,5,9,08:00,17:00
D413,5,8,08:00,16:00
D414,4,10,08:00,18:00
D415,4,10,09:00,19:00
D416,4,8,09:00,17:00
D417,4,8,09:30,17:30
D418,5,10,08:00,18:00
D419,5,9,08:00,17:00
D420,5,8,09:30,17:30
D421,5,8,08:00,16:00
D422,5,10,08:00,18:00
D423,5,8,09:00,17:00
D424,4,9,09:30,18:30
D425,5,10,09:30,19:30
D426,4,8,09:30,17:30
D427,4,10,09:30,19:30
D428,5,8,09:00,17:00
D429,4,8,09:00,17:00
D430,5,8,08:00,16:00
D431,4,9,08:00,17:00
D432,5,9,08:00,17:00
D433,4,10,08:00,18:00
D434,5,8,09:00,17:00
D435,5,8,09:30,17:30
D436,5,9,09:00,18:00
D437,5,8,08:00,16:00
D438,5,9,09:00,18:00
D439,4,8,09:30,17:30
D440,4,10,09:30,19:30
D441,4,8,09:00,17:00
D442,5,8,09:00,17:00
D443,4,9,09:00,18:00
D444,5,8,08:00,16:00
D445,5,8,09:00,17:00
D446,4,9,09:00,18:00
D447,4,10,09:00,19:00
D448,5,10,09:30,19:30
D449,4,9,09:30,18:30
D450,5,9,08:00,17:00
D451,5,9,08:00,17:00
D452,5,9,09:30,18:30
D453,5,9,09:30,18:30
D454,5,10,09:30,19:30
D455,4,10,09:00,19:00
D456,4,9,09:00,18:00
D457,5,8,09:30,17:30
D458,5,9,09:00,18:00
D459,4,8,09:00,17:00
D460,4,9,08:00,17:00
D461,5,9,09:30,18:30
D462,4,10,09:30,19:30
D463,5,8,09:00,17:00
D464,4,8,09:30,17:30
D465,5,10,08:00,18:00
D466,4,10,08:00,18:00
D467,5,10,08:00,18:00
D468,4,10,09:30,19:30
D469,4,8,09:30,17:30
D470,5,8,09:30,17:30
D471,4,9,09:30,18:30
D472,5,9,09:30,18:30
D473,4,10,08:00,18:00
D474,5,10,09:00,19:00
D475,4,10,08:00,18:00
D476,5,9,09:30,18:30
D477,4,9,08:00,17:00
D478,5,9,09:30,18:30
D479,4,9,09:30,18:30
D480,5,9,08:00,17:00
D481,5,9,09:30,18:30
D482,5,9,09:00,18:00
D483,4,10,09:30,19:30
D484,5,10,09:00,19:00
D485,4,10,09:00,19:00
D486,5,10,09:30,19:30
D487,4,9,08:00,17:00
D488,5,8,09:00,17:00
D489,4,9,08:00,17:00
D490,4,8,09:00,17:00
D491,5,10,09:30,19:30
D492,4,9,09:30,18:30
D493,4,10,09:00,19:00
D494,5,9,09:30,18:30
D495,4,10,09:00,19:00
D496,4,8,09:30,17:30
D497,4,8,08:00,16:00
D498,5,8,09:30,17:30
D499,4,9,08:00,17:00
D500,5,8,09:30,17:30
